Keyword-new zealand	Popularity-7	Start Offset-0
Artist	Artist Popularity	URL
TEKI	7	https://open.spotify.com/artist/0zmsvoDvpX9VDHZ7HpGTnj
ZEGA	7	https://open.spotify.com/artist/24aMlUdx56gmXvcTtH9h4b
NZ RHA	7	https://open.spotify.com/artist/1yv6TAMUOrwkxDnH4y1oPn
LOHI	7	https://open.spotify.com/artist/5bmZevvmlgaZTnKWHdvjCb
Zentarge	7	https://open.spotify.com/artist/6DLyQgTIGbBmjZJvdbqBco
Approaching Mountains	7	https://open.spotify.com/artist/4nKQaM3luEbClsYCuimbJz
NME6205	7	https://open.spotify.com/artist/1NeugQCfOhAPQcHd2aNtxi
Marsha	7	https://open.spotify.com/artist/6KvKEh1cDaLlOLC0WNTz3y
Sean Richards	7	https://open.spotify.com/artist/0CLH4Fh45wT0RGUXT6FIsf
theSlacks	7	https://open.spotify.com/artist/2Sp0RXr3X5TUHj8kKwtDQq
Kurawai	7	https://open.spotify.com/artist/0giawtwn4pzed2dB1bOyie
EMPIRE PRODUKT	7	https://open.spotify.com/artist/53VDnSmQfxZOySxJ4n1QqW
NZ	7	https://open.spotify.com/artist/5Zsx5RZDFWKt9lAED1dixS
